what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1269927143779
started,bundle,org.eclipse.pde.core,3.5.101.v20100104,"org.eclipse.pde.core",1269927213709
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1269927218966
executed,command,org.eclipse.ui.externaltools,3.2.0.v20090504,"org.eclipse.ui.externalTools.commands.OpenExternalToolsConfigurations",1269927218993
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1269927220048
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1269927313094
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1269927315274
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1269927319867
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1269927321427
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1269927326024
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1269927326042
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.refresh",1269927327066
started,bundle,org.eclipse.jdt.apt.core,3.3.202.R35x_v20091130-2300,"org.eclipse.jdt.apt.core",1269927327230
